type,papers,pct
JOUR,87,60
CONF,22,15.2
GEN,17,11.7
RPRT,4,2.8
BLOG,3,2.1
BOOK,3,2.1
CHAP,3,2.1
THES,3,2.1
SLIDE,2,1.4
ART,1,0.7
