dimension,normative framing,mentions,pct_within_dimension
Availability,descriptive,34,9.2
Availability,injunctive,284,76.5
Availability,tacit,53,14.3
Executability,descriptive,12,5.7
Executability,injunctive,130,61.6
Executability,tacit,69,32.7
Consistency,descriptive,10,10.4
Consistency,injunctive,64,66.7
Consistency,tacit,22,22.9
