operationalization category,operationalization value,operationalizations,pct
Classification,not specified,90,60
Classification,ordinal,30,20
Classification,binary,26,17.3
Classification,continuum,4,2.7
Scope: coverage,not specified,120,80
Scope: coverage,all claims,17,11.3
Scope: coverage,only focal or primary claims,9,6
Scope: coverage,fixed number of claims,4,2.7
Scope: unit,not specified,106,70.2
Scope: unit,paper-level,25,16.6
Scope: unit,claim-level,20,13.2
