paper_id,year,type
8,2017,THES
13,2017,BLOG
21,2019,CONF
22,2019,CONF
36,2020,JOUR
49,2021,JOUR
53,2021,CONF
68,2022,JOUR
96,2024,CONF
111,2025,JOUR
127,2025,JOUR
129,2025,JOUR
145,2026,GEN
